concept_id,concept_label,coding_system,code,display_code,match_type,code_description,default_claim_rule,source,source_url,notes
diabetic_complications,Diabetes with complications,ICD10CM,E082,E082,prefix,Diabetes due to underlying condition with kidney complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E083,E083,prefix,Diabetes due to underlying condition with ophthalmic complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E084,E084,prefix,Diabetes due to underlying condition with neurological complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E085,E085,prefix,Diabetes due to underlying condition with circulatory complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E086,E086,prefix,Diabetes due to underlying condition with other specified complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E092,E092,prefix,Drug or chemical induced diabetes with kidney complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E093,E093,prefix,Drug or chemical induced diabetes with ophthalmic complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E094,E094,prefix,Drug or chemical induced diabetes with neurological complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E095,E095,prefix,Drug or chemical induced diabetes with circulatory complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
diabetic_complications,Diabetes with complications,ICD10CM,E096,E096,prefix,Drug or chemical induced diabetes with other specified complications,Use as a diabetes severity feature; excludes uncomplicated diabetes codes.,AHRQ HCUP Elixhauser Comorbidity Software Refined for ICD-10-CM,https://hcup-us.ahrq.gov/toolssoftware/comorbidityicd10/comorbidity_icd10.jsp,Seed public code list. Normalize claim diagnosis codes by removing decimals and uppercasing before matching.
